Part 1:	General data of instance								
R	K	|V|	O	U	a	b			
10	211	100	20	200	1	1			
									
Part 2:	Properties of nodes 								
N	X_cord	Y_cord	m	alpha	beta	ST	P	D	K_R
0	181	172	10	348	419	90	-1	244	1
1	154	31	-10	795	860	90	123	-1	1
2	123	106	-10	747	797	90	314	-1	6
3	23	137	20	703	763	0	-1	417	6
4	190	28	20	115	177	90	-1	329	9
5	8	71	-10	0	1315	90	67	-1	9
6	103	130	-10	0	1381	90	32	-1	6
7	62	50	20	0	1349	90	-1	42	10
8	89	161	-10	0	1350	90	107	-1	1
9	117	91	20	446	513	90	-1	151	10
10	12	156	-20	540	580	90	235	-1	4
11	88	165	-40	220	286	90	197	-1	3
12	107	125	10	657	697	90	-1	75	1
13	8	74	-20	535	595	90	356	-1	7
14	105	125	-20	746	793	90	100	-1	1
15	118	192	30	0	1318	90	-1	131	2
16	146	11	10	100	160	90	-1	167	2
17	93	13	30	0	1324	90	-1	237	3
18	188	125	-40	426	484	90	255	-1	5
19	87	117	-10	832	881	90	397	-1	9
20	123	31	-10	682	748	90	380	-1	8
21	121	189	-10	0	1320	90	135	-1	1
22	174	128	20	79	140	0	-1	414	4
23	197	80	10	248	313	90	-1	219	4
24	151	165	10	630	688	90	-1	95	4
25	140	4	10	428	505	90	-1	39	5
26	78	184	-10	0	1325	90	247	-1	5
27	96	150	-10	0	1361	90	211	-1	4
28	96	147	-10	188	271	90	254	-1	5
29	149	182	-20	0	1316	90	72	-1	10
30	87	191	10	0	1320	90	-1	238	6
31	189	151	30	0	1309	90	-1	395	6
32	99	144	10	44	102	90	-1	6	6
33	64	52	-30	865	926	90	386	-1	8
34	7	151	-20	808	867	90	289	-1	5
35	151	99	10	0	1360	90	-1	129	7
36	87	118	10	743	789	0	-1	420	8
37	179	141	20	251	296	90	-1	110	8
38	192	151	10	348	413	90	-1	66	8
39	143	0	-10	809	863	90	25	-1	5
40	66	58	-10	1145	1203	90	318	-1	6
41	122	14	-20	0	1323	90	118	-1	1
42	66	52	-20	0	1353	90	7	-1	10
43	173	55	-10	0	1326	90	113	-1	1
44	119	37	20	874	931	0	-1	412	9
45	199	28	-30	0	1289	90	336	-1	7
46	90	161	10	404	472	90	-1	218	9
47	36	193	20	633	678	90	-1	233	9
48	159	160	-30	0	1327	90	126	-1	1
49	194	112	-20	613	683	90	232	-1	4
50	176	173	20	0	1306	90	-1	115	9
51	117	193	-30	151	219	90	290	-1	5
52	186	96	20	895	955	90	-1	85	9
53	39	56	10	129	204	90	-1	83	9
54	189	120	-20	522	578	90	204	-1	4
55	29	139	10	81	135	90	-1	369	9
56	37	190	-10	528	598	90	243	-1	4
57	165	117	10	0	1344	0	-1	415	9
58	16	84	-10	805	852	90	101	-1	1
59	187	97	-20	811	857	90	253	-1	5
60	10	153	20	348	404	90	-1	217	9
61	194	149	20	0	1305	90	-1	263	9
62	187	112	30	87	137	90	-1	130	9
63	103	70	10	176	250	90	-1	207	9
64	193	159	20	0	1301	90	-1	183	9
65	77	115	20	359	425	90	-1	276	9
66	190	154	-10	443	506	90	38	-1	8
67	3	75	10	0	1311	90	-1	5	9
68	17	93	20	152	202	90	-1	221	10
69	151	167	-20	337	410	90	86	-1	10
70	12	85	-20	517	580	90	303	-1	6
71	120	11	10	143	224	90	-1	272	10
72	140	181	20	0	1321	90	-1	29	10
73	6	67	10	251	310	90	-1	177	10
74	137	4	-30	1091	1146	90	171	-1	3
75	103	124	-10	821	901	90	12	-1	1
76	10	67	30	150	224	90	-1	393	10
77	48	30	50	239	299	90	-1	322	10
78	53	67	-30	590	650	90	145	-1	2
79	164	113	20	0	1346	90	-1	174	10
80	47	49	-20	787	849	90	245	-1	4
81	187	92	20	337	391	90	-1	295	10
82	121	115	20	178	234	90	-1	205	10
83	46	51	-10	0	1339	90	53	-1	9
84	144	189	30	341	402	90	-1	299	10
85	180	93	-20	1072	1151	90	52	-1	9
86	152	168	20	260	303	90	-1	69	10
87	117	95	10	68	149	90	-1	335	10
88	195	25	-10	906	982	90	152	-1	2
89	108	168	20	512	569	0	-1	411	10
90	149	103	-20	0	1362	90	343	-1	7
91	60	58	20	58	102	0	-1	407	10
92	197	79	10	333	409	0	-1	405	10
93	39	58	30	74	131	0	-1	413	10
94	147	186	-10	625	683	90	264	-1	5
95	154	163	-10	714	792	90	24	-1	4
96	96	128	30	28	89	90	-1	236	10
97	30	187	10	0	1300	90	-1	249	10
98	123	121	20	0	1380	0	-1	402	10
99	104	68	10	0	1379	90	-1	317	10
100	102	128	20	281	328	90	-1	14	1
101	18	89	10	82	136	90	-1	58	1
102	197	77	20	709	766	90	-1	121	1
103	156	11	-10	1190	1240	90	319	-1	6
104	144	33	30	80	129	90	-1	360	1
105	101	67	20	0	1378	90	-1	162	1
106	159	121	-10	0	1349	90	381	-1	8
107	84	192	10	342	393	90	-1	8	1
108	139	7	20	0	1311	90	-1	281	1
109	7	152	-20	715	779	90	181	-1	3
110	181	147	-20	445	493	90	37	-1	8
111	104	170	20	140	182	90	-1	195	1
112	13	81	30	610	676	90	-1	252	1
113	172	57	10	83	140	90	-1	43	1
114	80	108	-10	86	140	90	125	-1	1
115	180	171	-20	452	498	90	50	-1	9
116	146	3	-10	439	500	90	354	-1	7
117	123	33	-20	0	1341	90	185	-1	3
118	127	8	20	904	958	90	-1	41	1
119	185	115	20	618	675	90	-1	150	1
120	192	113	20	248	299	90	-1	172	1
121	194	75	-20	892	952	90	102	-1	1
122	135	0	-10	988	1060	90	291	-1	6
123	157	30	10	709	761	90	-1	1	1
124	53	29	-10	513	593	90	187	-1	3
125	85	110	10	18	73	90	-1	114	1
126	182	171	30	548	587	90	-1	48	1
127	79	193	-10	0	1316	90	191	-1	3
128	181	52	10	603	674	90	-1	262	1
129	148	103	-10	835	908	90	35	-1	7
130	190	109	-30	892	955	90	62	-1	9
131	119	188	-30	807	875	90	15	-1	2
132	197	140	-20	250	326	90	155	-1	2
133	162	123	-10	693	749	90	337	-1	7
134	102	170	40	216	290	90	-1	278	1
135	120	198	10	0	1311	90	-1	21	1
136	175	50	-10	896	951	90	280	-1	5
137	23	142	10	0	1324	90	-1	189	2
138	149	99	-20	0	1362	90	300	-1	6
139	102	174	20	0	1337	90	-1	310	2
140	30	142	10	146	202	90	-1	274	2
141	175	143	-10	0	1325	90	193	-1	3
142	193	27	10	449	512	90	-1	146	2
143	193	82	10	148	223	90	-1	228	2
144	103	67	-20	463	515	90	268	-1	5
145	55	64	30	398	463	90	-1	78	2
146	197	25	-10	732	788	90	142	-1	2
147	42	105	-20	494	552	90	339	-1	7
148	100	129	30	180	245	90	-1	256	2
149	120	115	-30	80	151	90	365	-1	8
150	183	120	-20	0	1326	90	119	-1	1
151	115	89	-20	554	591	90	9	-1	10
152	196	27	10	822	882	90	-1	88	2
153	131	38	20	124	194	90	-1	345	2
154	145	31	20	143	201	90	-1	394	2
155	196	137	20	166	223	90	-1	132	2
156	98	150	10	295	350	90	-1	168	2
157	159	8	10	1095	1146	90	-1	226	2
158	15	88	10	335	394	90	-1	210	2
159	191	27	10	174	239	90	-1	214	2
160	196	111	-20	0	1315	90	212	-1	4
161	150	6	-10	623	686	90	246	-1	5
162	95	74	-20	0	1385	90	105	-1	1
163	42	101	10	682	732	90	-1	366	2
164	53	59	20	221	270	90	-1	307	2
165	193	23	20	1008	1067	90	-1	257	2
166	40	105	10	396	465	90	-1	377	2
167	152	4	-10	813	865	90	16	-1	2
168	100	151	-10	476	536	90	156	-1	2
169	24	140	20	609	670	90	-1	330	3
170	87	195	-30	525	581	90	286	-1	5
171	140	6	30	347	401	90	-1	74	3
172	197	113	-20	435	491	90	120	-1	1
173	40	183	20	0	1309	90	-1	344	3
174	127	114	-20	638	710	90	79	-1	10
175	182	46	-30	0	1313	90	347	-1	7
176	151	190	40	523	593	0	-1	404	3
177	8	69	-10	808	872	90	73	-1	10
178	44	52	-10	316	389	90	179	-1	3
179	43	54	10	236	285	90	-1	178	3
180	179	174	10	165	233	90	-1	388	3
181	13	152	20	157	225	90	-1	109	3
182	137	1	-10	913	952	90	351	-1	7
183	127	118	-20	0	1379	90	64	-1	9
184	118	92	30	365	412	0	-1	421	3
185	129	40	20	66	154	90	-1	117	3
186	123	4	10	717	774	90	-1	199	3
187	55	24	10	442	475	90	-1	124	3
188	41	182	30	101	166	0	-1	400	3
189	22	133	-10	796	858	90	137	-1	2
190	151	101	20	472	538	90	-1	371	3
191	82	194	10	798	865	90	-1	127	3
192	185	124	10	332	392	90	-1	293	3
193	180	147	10	0	1319	90	-1	141	3
194	97	7	20	340	400	0	-1	408	3
195	108	165	-20	603	665	90	111	-1	1
196	47	50	-10	891	928	90	311	-1	6
197	93	167	40	0	1344	90	-1	11	3
198	186	91	10	242	303	90	-1	292	3
199	124	6	-10	803	872	90	186	-1	3
200	149	167	-10	0	1328	90	301	-1	6
201	125	38	30	319	371	90	-1	341	3
202	123	8	-20	252	304	90	396	-1	9
203	199	76	30	0	1310	90	-1	285	4
204	194	129	20	0	1313	90	-1	54	4
205	124	117	-20	356	425	90	82	-1	10
206	115	4	20	617	677	90	-1	231	4
207	105	70	-10	278	333	90	63	-1	9
208	120	92	-20	274	318	90	216	-1	4
209	200	136	-30	361	405	90	321	-1	6
210	14	84	-10	704	768	90	158	-1	2
211	100	150	10	0	1361	90	-1	27	4
212	190	112	20	0	1321	90	-1	160	4
213	146	7	10	265	304	90	-1	288	4
214	196	28	-10	540	607	90	159	-1	2
215	100	6	30	141	227	90	-1	357	4
216	118	97	20	169	232	90	-1	208	4
217	12	154	-20	0	1308	90	60	-1	9
218	97	162	-10	672	723	90	46	-1	9
219	196	78	-10	802	854	90	23	-1	4
220	172	114	20	229	278	90	-1	283	4
221	14	92	-20	0	1325	90	68	-1	10
222	7	142	-20	914	960	90	368	-1	8
223	63	55	-10	1046	1115	90	230	-1	4
224	54	30	-20	612	678	90	277	-1	5
225	141	8	20	160	222	90	-1	308	4
226	156	12	-10	0	1307	90	157	-1	2
227	134	6	-10	1186	1238	90	349	-1	7
228	198	78	-10	432	493	90	143	-1	2
229	65	53	-20	951	1023	90	331	-1	7
230	52	28	10	328	399	90	-1	223	4
231	125	15	-20	997	1060	90	206	-1	4
232	199	115	20	336	404	90	-1	49	4
233	32	178	-20	1002	1085	90	47	-1	9
234	179	55	30	337	389	90	-1	387	4
235	11	151	20	260	307	90	-1	10	4
236	99	154	-30	575	622	90	96	-1	10
237	95	16	-30	619	689	90	17	-1	3
238	83	197	-10	703	774	90	30	-1	6
239	27	135	10	983	1049	0	-1	401	4
240	102	121	-20	0	1390	90	320	-1	6
241	179	165	20	729	783	90	-1	258	4
242	87	196	-10	0	1315	90	361	-1	8
243	38	190	10	435	508	90	-1	56	4
244	183	167	-10	629	694	90	0	-1	1
245	46	49	20	0	1337	90	-1	80	4
246	149	5	10	535	591	90	-1	161	5
247	84	194	10	437	483	90	-1	26	5
248	93	150	-20	862	922	90	298	-1	6
249	35	186	-10	920	971	90	97	-1	10
250	177	146	10	719	768	90	-1	275	5
251	26	147	20	0	1324	90	-1	273	5
252	21	85	-30	899	947	90	112	-1	1
253	195	97	20	0	1316	90	-1	59	5
254	99	146	10	108	165	90	-1	28	5
255	195	129	40	0	1312	90	-1	18	5
256	105	127	-30	460	521	90	148	-1	2
257	190	24	-20	1099	1161	90	165	-1	2
258	178	165	-20	811	883	90	241	-1	4
259	68	50	10	0	1352	0	-1	403	5
260	190	110	-20	0	1321	90	382	-1	8
261	60	51	-20	305	371	90	338	-1	7
262	180	50	-10	699	763	90	128	-1	1
263	181	151	-20	0	1316	90	61	-1	9
264	143	189	10	0	1313	90	-1	94	5
265	56	59	30	125	179	90	-1	267	5
266	48	108	20	52	106	90	-1	390	5
267	50	67	-30	497	556	90	265	-1	5
268	101	70	20	97	146	90	-1	144	5
269	185	123	-20	0	1323	90	323	-1	6
270	38	188	-20	351	409	90	389	-1	9
271	151	28	20	428	484	90	-1	305	5
272	121	8	-10	0	1317	90	71	-1	10
273	25	143	-20	423	486	90	251	-1	5
274	26	138	-10	886	960	90	140	-1	2
275	176	144	-10	893	958	90	250	-1	5
276	78	119	-20	458	515	90	65	-1	9
277	51	31	20	141	210	90	-1	224	5
278	109	175	-40	411	477	90	134	-1	1
279	150	98	10	207	254	0	-1	419	5
280	180	52	10	0	1318	90	-1	136	5
281	141	4	-20	615	683	90	108	-1	1
282	152	3	-10	894	966	90	325	-1	7
283	166	117	-20	318	382	90	220	-1	4
284	93	7	-30	431	497	90	333	-1	7
285	113	94	-30	0	1397	90	203	-1	4
286	83	188	30	89	141	90	-1	170	5
287	8	73	20	632	680	90	-1	326	5
288	154	2	-10	993	1053	90	213	-1	4
289	17	150	20	0	1315	90	-1	34	5
