Part 1:	General data of instance								
R	K	|V|	O	U	a	b			
15	727	360	30	200	1	1			
									
Part 2:	Properties of nodes 								
N	X_cord	Y_cord	m	alpha	beta	ST	P	D	K_R
0	440	436	18	0	1546	10	-1	597	1
1	214	394	-30	231	261	10	854	-1	14
2	476	483	10	0	1487	10	-1	199	6
3	352	487	-20	0	1553	10	484	-1	9
4	230	197	40	122	152	10	-1	292	8
5	175	239	23	0	1736	0	-1	1032	10
6	133	202	-16	0	1685	10	771	-1	13
7	328	458	-26	0	1589	10	87	-1	14
8	25	499	-10	0	1476	10	746	-1	12
9	226	423	15	0	1637	10	-1	885	14
10	313	282	20	0	1741	10	-1	295	1
11	60	454	10	347	377	10	-1	45	1
12	239	486	3	300	1512	10	-1	326	3
13	102	264	10	0	1663	10	-1	202	4
14	408	452	-20	0	1555	10	70	-1	12
15	451	62	5	0	1536	10	-1	130	5
16	203	390	-24	0	1664	10	167	-1	6
17	92	233	-20	0	1653	10	115	-1	2
18	7	300	-10	0	1563	10	420	-1	9
19	409	90	20	0	1586	10	-1	204	6
20	307	108	-20	0	1658	10	376	-1	8
21	347	54	10	0	1593	10	-1	370	6
22	406	87	-10	0	1586	10	454	-1	9
23	371	332	-10	0	1665	10	891	-1	14
24	116	466	20	254	284	10	-1	356	6
25	441	265	40	0	1620	10	-1	225	7
26	130	140	17	0	1649	10	-1	798	7
27	80	117	24	824	854	10	-1	507	7
28	421	387	-20	801	831	10	896	-1	14
29	83	300	26	500	530	10	-1	162	7
30	136	52	10	0	1583	10	-1	742	7
31	18	462	20	0	1497	10	-1	857	7
32	390	120	24	0	1620	10	-1	266	7
33	188	119	-7	0	1667	10	157	-1	6
34	467	114	-2	0	1555	10	748	-1	12
35	440	292	24	940	970	10	-1	776	8
36	268	400	20	0	1660	10	-1	931	8
37	391	202	14	0	1663	10	-1	603	8
38	377	432	-20	0	1590	10	985	-1	15
39	80	290	10	0	1637	10	-1	151	8
40	439	15	20	0	1510	10	-1	925	8
41	307	52	-14	920	950	10	563	-1	10
42	111	192	-21	0	1661	10	253	-1	7
43	131	56	10	0	1584	10	-1	449	9
44	88	286	10	0	1646	10	-1	817	9
45	69	414	-10	0	1567	10	11	-1	1
46	41	232	16	0	1602	10	-1	881	9
47	323	77	36	1405	1435	10	-1	932	9
48	340	416	36	0	1623	10	-1	216	9
49	86	199	-10	0	1640	10	899	-1	14
50	314	124	20	0	1670	10	-1	263	10
51	375	191	-20	0	1673	10	805	-1	13
52	226	175	23	0	1733	10	-1	123	10
53	242	106	-27	0	1667	10	993	-1	4
54	417	417	10	0	1575	10	-1	472	10
55	419	459	-20	0	1543	10	252	-1	7
56	389	11	20	0	1535	10	-1	645	10
57	450	416	25	577	607	10	-1	193	10
58	246	255	10	0	1805	10	-1	343	11
59	71	333	-20	0	1614	10	333	-1	8
60	105	474	27	0	1545	10	-1	584	11
61	20	489	-30	0	1480	10	317	-1	7
62	388	331	20	160	190	10	-1	684	11
63	92	259	4	399	429	0	-1	1031	11
64	200	261	10	166	196	10	-1	229	11
65	400	288	-30	0	1657	10	754	-1	13
66	299	285	3	0	1751	10	-1	97	11
67	378	199	-30	207	237	10	161	-1	6
68	325	147	14	0	1684	10	-1	532	12
69	421	386	-25	0	1593	10	178	-1	6
70	404	447	20	0	1561	10	-1	14	12
71	412	478	7	0	1532	0	-1	1030	12
72	26	67	-20	1317	1347	10	417	-1	9
73	358	183	-20	0	1684	10	587	-1	11
74	30	302	-30	0	1585	10	936	-1	15
75	176	470	14	0	1579	10	-1	621	13
76	96	270	20	162	192	10	-1	929	13
77	243	408	-5	0	1653	10	441	-1	9
78	60	29	-8	0	1520	10	716	-1	12
79	34	169	11	484	514	10	-1	747	13
80	407	280	-20	0	1652	10	690	-1	12
81	277	403	-30	0	1656	10	435	-1	9
82	498	456	27	1406	1436	10	-1	650	13
83	384	491	-30	348	378	10	638	-1	11
84	355	174	-20	0	1682	10	926	-1	15
85	97	288	-30	0	1654	10	804	-1	13
86	316	284	-20	0	1737	10	349	-1	8
87	334	403	26	0	1637	10	-1	7	14
88	415	223	-23	0	1644	10	800	-1	13
89	230	320	8	0	1739	10	-1	148	14
90	432	199	7	0	1622	10	-1	873	14
91	92	18	-3	0	1531	10	554	-1	10
92	273	300	30	55	85	10	-1	474	15
93	269	112	-20	0	1672	10	527	-1	10
94	429	389	18	0	1585	10	-1	331	15
95	371	71	21	0	1595	10	-1	818	15
96	5	297	10	0	1562	10	-1	534	15
97	414	378	-3	495	525	10	66	-1	11
98	38	15	3	0	1495	10	-1	941	15
99	2	295	30	0	1559	10	-1	242	15
100	237	254	20	0	1798	10	-1	792	1
101	54	445	10	400	1338	10	-1	784	1
102	382	110	-20	0	1619	10	578	-1	11
103	438	488	18	0	1508	10	-1	261	1
104	395	331	20	20	644	10	-1	145	1
105	230	487	-10	300	1160	10	147	-1	5
106	249	407	-25	0	1654	10	329	-1	7
107	488	26	30	0	1485	0	-1	1010	1
108	151	81	28	0	1616	10	-1	722	1
109	483	14	-10	0	1480	10	968	-1	15
110	0	422	-10	0	1508	10	624	-1	11
111	429	67	-36	0	1556	10	319	-1	7
112	195	464	-1	1541	1571	10	181	-1	6
113	356	256	19	0	1705	10	-1	221	2
114	264	180	33	1681	1711	0	-1	1018	2
115	94	235	20	0	1655	10	-1	17	2
116	474	96	-2	0	1540	10	248	-1	7
117	268	52	10	0	1613	10	-1	698	2
118	44	440	24	0	1531	10	-1	146	2
119	7	382	27	0	1535	10	-1	633	2
120	459	53	20	0	1524	0	-1	1013	3
121	491	25	-30	0	1482	10	937	-1	15
122	439	243	20	0	1622	10	-1	302	3
123	210	185	-23	0	1735	10	52	-1	10
124	150	68	-10	423	453	10	652	-1	11
125	201	270	10	52	682	10	-1	966	3
126	0	188	-8	0	1554	10	878	-1	14
127	103	464	-20	0	1552	10	465	-1	9
128	325	56	-20	0	1604	10	473	-1	9
129	44	344	-15	0	1585	10	879	-1	14
130	418	75	-5	0	1569	10	15	-1	5
131	472	57	17	1295	1325	10	-1	813	4
132	460	328	-29	0	1587	10	927	-1	15
133	89	270	-17	0	1649	10	816	-1	13
134	374	190	20	0	1674	10	-1	668	4
135	463	253	23	0	1598	10	-1	889	4
136	97	93	20	0	1592	10	-1	787	4
137	163	472	9	653	683	10	-1	859	5
138	29	336	-20	0	1574	10	468	-1	9
139	84	453	-30	0	1549	10	608	-1	11
140	294	421	-15	1575	1605	10	369	-1	8
141	343	62	10	0	1602	10	-1	675	5
142	371	193	20	0	1678	10	-1	477	5
143	142	372	-20	0	1649	10	965	-1	15
144	66	88	2	0	1566	10	-1	338	5
145	395	332	-20	0	1645	10	104	-1	1
146	93	413	-24	0	1585	10	118	-1	2
147	267	394	10	100	689	10	-1	105	5
148	249	258	-8	0	1803	10	89	-1	14
149	472	129	10	0	1559	10	-1	715	5
150	87	3	-10	1433	1463	10	529	-1	10
151	62	326	-10	0	1609	10	39	-1	8
152	212	186	11	600	1737	10	-1	858	5
153	241	402	-40	0	1659	10	224	-1	6
154	439	266	10	100	600	10	-1	706	5
155	79	80	19	0	1570	10	-1	355	5
156	62	453	10	0	1535	10	-1	979	6
157	188	151	7	0	1695	10	-1	33	6
158	386	154	31	0	1645	10	-1	823	6
159	38	301	-5	296	326	10	561	-1	10
160	192	265	10	0	1752	10	-1	975	6
161	371	192	30	134	164	10	-1	67	6
162	64	294	-26	1101	1131	10	29	-1	7
163	381	494	-20	0	1535	10	914	-1	14
164	437	12	20	330	360	10	-1	235	6
165	186	135	24	0	1680	0	-1	1027	6
166	459	10	-20	0	1493	10	872	-1	14
167	175	422	24	1446	1476	10	-1	16	6
168	274	48	10	0	1608	10	-1	567	6
169	488	173	-10	0	1561	10	244	-1	6
170	398	97	-30	0	1599	10	444	-1	9
171	385	17	-10	809	839	10	845	-1	14
172	180	283	-8	0	1734	10	697	-1	12
173	71	12	-18	0	1514	10	505	-1	10
174	343	49	10	0	1590	10	-1	940	6
175	248	251	20	2	32	10	-1	756	6
