Part 1:	General data of instance								
R	K	|V|	O	U	a	b			
10	303	150	20	1000	1	1			
									
Part 2:	Properties of nodes 								
N	X_cord	Y_cord	m	alpha	beta	ST	P	D	K_R
0	133	187	16	4210	4450	0	-1	605	1
1	277	41	14	0	4646	10	-1	101	1
2	284	244	-12	0	4650	10	429	-1	5
3	38	139	-8	0	4701	10	149	-1	1
4	117	178	-9	3004	3244	10	446	-1	5
5	241	298	27	0	4640	10	-1	210	6
6	76	221	24	2822	3062	10	-1	317	9
7	175	251	8	0	4709	10	-1	22	10
8	45	115	13	807	1047	10	-1	339	10
9	216	203	5	2103	2343	10	-1	202	10
10	178	263	-15	2981	3221	10	519	-1	7
11	51	2	41	0	4635	10	-1	508	1
12	274	6	-21	0	4623	10	479	-1	6
13	232	121	15	0	4727	10	-1	545	1
14	110	83	22	726	966	10	-1	77	1
15	275	263	33	608	848	10	-1	452	1
16	114	211	10	0	4743	10	-1	316	1
17	61	84	7	1274	1514	10	-1	289	2
18	80	35	31	2000	2240	10	-1	489	2
19	298	135	7	0	4665	10	-1	361	2
20	60	72	-12	622	862	10	184	-1	2
21	75	127	-15	2000	2240	10	294	-1	3
22	102	173	-8	0	4760	10	7	-1	10
23	276	28	9	991	1231	10	-1	404	2
24	165	179	-29	0	4781	10	176	-1	2
25	289	143	-26	0	4674	10	595	-1	9
26	69	134	-2	2436	2676	10	469	-1	6
27	61	138	-25	0	4724	10	563	-1	8
28	283	144	6	413	653	10	-1	68	3
29	97	232	-25	0	4716	10	136	-1	1
30	120	241	-17	2362	2602	10	515	-1	7
31	173	64	-11	2227	2467	10	293	-1	3
32	176	263	5	0	4698	10	-1	379	4
33	117	168	-4	0	4776	10	224	-1	2
34	184	102	-23	4131	4371	10	159	-1	1
35	157	221	10	1582	1822	10	-1	552	4
36	108	3	-6	0	4661	10	463	-1	5
37	29	8	24	2944	3184	10	-1	436	4
38	136	241	11	1426	1666	10	-1	582	4
39	16	42	-22	950	1190	10	549	-1	8
40	183	282	42	0	4677	10	-1	585	5
41	154	299	17	0	4664	10	-1	468	5
