Part 1:	General data of instance								
R	K	|V|	O	U	a	b			
20	706	400	40	1000	1	1			
									
Part 2:	Properties of nodes 								
N	X_cord	Y_cord	m	alpha	beta	ST	P	D	K_R
0	228	399	-23	2285	2525	10	285	-1	7
1	325	56	13	3126	3366	10	-1	514	1
2	290	145	-12	5066	5306	10	21	-1	6
3	340	291	22	1822	2062	10	-1	528	7
4	370	382	-27	3475	3715	10	200	-1	6
5	273	255	-21	5908	6148	10	732	-1	15
6	36	301	-12	760	1000	10	982	-1	20
7	117	178	-24	4409	4649	10	607	-1	12
8	295	283	-12	3513	3753	10	549	-1	8
9	57	43	-11	4034	4274	10	15	-1	6
10	436	123	-19	781	1021	10	824	-1	17
11	48	162	-24	809	1049	10	673	-1	13
12	222	499	7	3321	3561	10	-1	383	3
13	376	92	10	3902	4142	10	-1	533	4
14	437	90	12	2280	2520	10	-1	947	5
15	3	23	11	1506	1746	10	-1	9	6
16	94	40	24	4212	4452	10	-1	917	6
17	398	476	25	1612	1852	10	-1	23	6
18	307	249	10	5446	5686	10	-1	880	6
19	179	286	8	1305	1545	10	-1	520	6
20	0	356	13	4285	4525	10	-1	978	6
21	143	158	12	490	730	10	-1	2	6
22	413	476	-3	4656	4896	10	357	-1	8
23	371	488	-25	2271	2511	10	17	-1	6
24	415	118	19	806	1046	10	-1	692	7
25	440	77	-18	3592	3832	10	445	-1	9
26	261	201	15	5996	6236	0	-1	1004	7
27	490	286	-20	2029	2269	10	903	-1	19
28	309	161	23	2273	2513	10	-1	366	7
29	39	162	18	2201	2441	10	-1	173	7
30	361	178	5	3830	4070	10	-1	302	7
31	261	138	1	2413	2653	10	-1	760	8
32	447	383	17	831	1071	10	-1	100	8
33	346	354	-9	3210	3450	10	676	-1	13
34	461	195	-33	5520	5760	10	78	-1	16
35	187	263	35	137	377	10	-1	954	8
36	130	247	17	360	600	10	-1	256	8
37	328	491	-12	2653	2893	10	935	-1	20
38	161	276	-23	474	714	10	661	-1	13
39	365	74	-18	3334	3574	10	671	-1	13
40	168	109	10	757	997	10	-1	83	9
41	111	192	11	4738	4978	10	-1	678	9
42	87	213	-17	2443	2683	10	294	-1	7
43	45	166	22	3993	4233	10	-1	462	9
44	62	94	16	3742	3982	10	-1	459	9
45	348	476	-8	4727	4967	10	220	-1	7
46	64	437	11	3613	3853	10	-1	919	10
47	56	75	24	5691	5931	0	-1	1000	10
48	24	259	19	1420	1660	10	-1	556	10
49	295	247	-8	5154	5394	10	807	-1	17
50	6	53	-25	2288	2528	10	931	-1	20
51	15	11	-10	3747	3987	10	278	-1	7
52	179	497	1	5584	5824	10	-1	176	10
53	67	352	20	1433	1673	10	-1	979	10
54	317	45	8	2573	2813	10	-1	564	2
55	40	278	-38	4358	4598	10	254	-1	7
56	33	278	-2	5889	6129	10	698	-1	14
57	322	290	-15	5856	6096	10	936	-1	20
58	159	226	16	256	496	10	-1	898	11
59	208	445	22	5270	5510	10	-1	143	12
60	453	360	13	804	1044	10	-1	839	12
61	34	169	-22	1878	2118	10	825	-1	17
62	436	25	-24	5069	5309	10	118	-1	3
63	393	98	-30	2950	3190	10	511	-1	10
64	466	96	-16	5473	5713	10	636	-1	13
65	366	390	-21	5213	5453	10	115	-1	2
66	303	78	12	600	840	10	-1	840	13
67	374	116	-8	2289	2529	10	408	-1	9
68	424	288	-6	4169	4409	10	334	-1	8
69	191	84	-23	3408	3648	10	116	-1	2
70	59	276	11	3510	3750	10	-1	265	14
71	215	293	13	102	342	10	-1	548	14
72	343	276	15	266	506	10	-1	451	14
73	488	173	-22	4781	5021	10	907	-1	19
74	452	110	14	1301	1541	10	-1	741	15
75	153	244	5	371	611	10	-1	279	15
76	176	200	17	2210	2450	10	-1	524	15
77	498	171	12	4966	5206	10	-1	651	16
78	492	188	33	2801	3041	10	-1	34	16
79	177	156	25	609	849	10	-1	257	16
