Part 1:	General data of instance								
R	K	|V|	O	U	a	b			
15	315	150	30	200	1	1			
									
Part 2:	Properties of nodes 								
N	X_cord	Y_cord	m	alpha	beta	ST	P	D	K_R
0	71	268	10	231	241	10	-1	18	1
1	183	80	-5	0	1119	10	254	-1	5
2	174	238	-16	1033	1043	10	491	-1	11
3	166	123	14	31	41	10	-1	68	6
4	287	293	14	548	558	10	-1	118	8
5	140	214	-25	0	1132	10	260	-1	5
6	47	203	29	680	690	10	-1	496	14
7	247	19	-19	828	838	10	541	-1	13
8	152	29	10	909	919	10	-1	365	15
9	86	216	-12	218	228	10	38	-1	8
10	107	29	-12	1021	1031	10	547	-1	13
11	212	270	21	602	612	10	-1	552	1
12	148	157	24	7	17	0	-1	623	1
13	291	148	-29	646	656	10	251	-1	5
14	92	241	-27	777	787	10	399	-1	8
15	162	148	-23	760	770	10	421	-1	9
16	119	254	42	817	827	10	-1	291	2
17	266	212	11	343	353	10	-1	436	2
18	99	226	-10	0	1105	10	0	-1	1
19	56	116	-13	0	1097	10	351	-1	7
20	110	31	-22	373	383	10	444	-1	10
21	175	107	-15	1096	1106	10	542	-1	13
22	17	0	11	587	597	10	-1	192	4
23	96	86	12	83	93	10	-1	380	4
24	136	228	2	367	377	10	-1	81	4
25	100	138	-40	0	1145	10	206	-1	3
26	184	277	17	0	1065	10	-1	40	5
27	16	42	17	263	273	10	-1	558	5
28	67	175	-6	0	1110	10	107	-1	1
29	72	286	17	412	422	10	-1	303	5
30	176	235	33	0	1108	10	-1	104	6
31	116	14	-26	664	674	10	227	-1	4
32	26	27	-6	0	1022	10	423	-1	9
33	37	14	19	253	263	10	-1	560	6
34	1	11	-22	490	500	10	294	-1	6
35	74	117	-17	814	824	10	277	-1	5
36	170	53	-19	0	1097	10	381	-1	8
37	154	101	21	449	559	10	-1	284	7
38	75	191	12	90	100	10	-1	9	8
39	227	62	16	815	825	10	-1	577	8
40	209	269	-17	456	466	10	26	-1	5
41	207	149	22	357	367	10	-1	388	9
42	99	105	-19	260	270	10	228	-1	4
43	6	168	-4	754	764	10	142	-1	2
44	296	211	22	206	216	10	-1	535	10
45	254	87	7	0	1075	0	-1	610	10
46	201	175	10	703	713	0	-1	602	10
47	268	113	-26	853	863	10	410	-1	9
48	29	8	-5	761	771	10	446	-1	10
49	159	89	-12	836	846	10	498	-1	11
50	9	30	-24	0	1011	10	313	-1	6
51	175	294	16	501	511	10	-1	484	12
52	282	76	-27	866	876	10	470	-1	11
53	90	44	12	0	1075	10	-1	582	13
54	57	7	25	0	1026	10	-1	493	13
55	176	153	-29	0	1170	10	425	-1	9
56	106	243	-24	0	1094	10	290	-1	6
57	207	20	-3	195	205	10	400	-1	9
58	289	143	23	147	157	10	-1	135	14
59	166	194	7	108	118	10	-1	215	14
60	295	123	29	780	790	10	-1	520	15
61	85	62	3	0	1087	10	-1	548	15
62	207	237	11	498	508	10	-1	287	15
63	136	50	16	0	1096	10	-1	141	15
64	42	221	-36	306	316	10	424	-1	9
65	208	235	-21	833	843	10	591	-1	14
66	267	29	-18	469	479	10	417	-1	9
67	206	121	-25	756	766	10	466	-1	11
68	227	5	-14	380	390	10	3	-1	6
69	60	287	-17	993	1003	10	483	-1	11
70	151	133	23	17	27	10	-1	220	15
71	222	100	-17	736	746	10	398	-1	8
72	152	77	10	0	1123	0	-1	627	15
73	225	192	-6	300	566	10	100	-1	1
74	150	104	-25	0	1150	10	431	-1	9
75	296	252	18	799	809	0	-1	612	15
76	63	170	-11	0	1107	10	549	-1	13
77	106	168	21	222	232	10	-1	162	15
78	73	81	15	566	576	10	-1	500	15
79	97	232	-25	943	953	10	456	-1	10
80	112	43	42	563	573	10	-1	494	15
81	135	251	-2	494	504	10	24	-1	4
82	214	6	-12	875	885	10	249	-1	4
83	252	219	-26	311	321	10	144	-1	2
84	182	284	3	523	533	0	-1	618	15
85	259	187	-33	0	1081	10	88	-1	15
86	72	20	32	694	704	10	-1	264	15
87	153	61	12	269	279	10	-1	442	15
88	211	174	33	0	1131	10	-1	85	15
89	199	28	-11	0	1065	10	418	-1	9
90	274	136	-23	814	824	10	457	-1	10
91	226	248	-12	863	873	10	133	-1	2
92	85	75	-10	736	746	10	502	-1	12
93	52	165	18	297	307	10	-1	204	15
94	54	136	9	260	270	10	-1	275	15
95	34	150	15	403	413	10	-1	115	15
96	203	36	18	407	417	10	-1	189	15
97	37	258	11	836	846	10	-1	482	15
98	29	130	18	0	1074	10	-1	231	15
99	40	181	-16	0	1082	10	402	-1	9
100	192	150	6	42	552	10	-1	73	1
101	61	138	-19	653	663	10	598	-1	14
102	183	88	-15	889	899	10	125	-1	1
103	122	127	1	36	46	10	-1	447	1
104	126	266	-33	504	514	10	30	-1	6
105	165	179	-17	841	851	10	186	-1	3
106	19	290	12	397	407	10	-1	506	1
107	30	243	6	296	306	10	-1	28	1
108	172	198	29	840	850	10	-1	368	1
109	209	84	13	392	402	10	-1	179	1
110	24	261	-15	0	1029	10	544	-1	13
111	181	145	20	772	782	10	-1	387	1
112	149	76	-8	810	820	10	522	-1	12
113	206	157	-12	921	931	10	411	-1	9
114	1	81	-16	331	341	10	259	-1	5
115	47	153	-15	777	787	10	95	-1	15
116	125	148	8	0	1171	0	-1	614	1
117	109	148	19	0	1155	10	-1	481	1
118	256	286	-14	804	814	10	4	-1	8
119	15	52	21	166	176	10	-1	533	1
120	234	107	24	348	358	10	-1	592	1
121	108	162	24	637	647	10	-1	238	1
122	147	240	4	0	1106	10	-1	304	1
123	290	37	1	826	836	10	-1	556	1
124	165	256	12	597	607	10	-1	180	1
